Date,OpenPrice,HighPrice,LowPrice,ClosePrice,WAP,Num_Shares,Num_Trades,Total_Turnover,Deliverable_Quantity,DQ_TQ,Spread_HighLow,Spread_CloseOpen
08-Feb-24,937.7,939.75,918.7,924.45,927.5558113,380102,11333,352565819,146920,38.65,21.05,-13.25
07-Feb-24,943.55,944.55,928.25,933.55,936.0894971,390616,13102,365651535,156794,40.14,16.3,-10
06-Feb-24,939,941,928.4,939.45,936.9908332,916894,30384,859121273,376555,41.07,12.6,0.45
05-Feb-24,942,949.6,915.2,926.8,935.4361203,2818087,68386,2636140370,880542,31.25,34.4,-15.2
02-Feb-24,886.8,895.75,876.8,878.8,885.9786778,741857,20274,657269484,192953,26.01,18.95,-8
01-Feb-24,901.9,901.9,876.1,878.35,886.7330602,1071249,34178,949911904,337620,31.52,25.8,-23.55
31-Jan-24,866.65,896.65,865.45,884.2,882.313787,1451000,40244,1280237305,401651,27.68,31.2,17.55
30-Jan-24,842.8,886.3,842.8,859.25,863.4311423,759508,28430,655782860,162808,21.44,43.5,16.45
29-Jan-24,813.75,843.7,811,840.85,830.4197077,547076,13431,454302692,194905,35.63,32.7,27.1
25-Jan-24,813.9,813.9,800.3,811.45,809.2797615,532450,20533,430901009,169558,31.84,13.6,-2.45
24-Jan-24,803,812,789,810.9,802.526046,375528,11551,301371001,97189,25.88,23,7.9
23-Jan-24,824,827.7,796.3,800.4,813.2508659,1093429,42566,889232081,660014,60.36,31.4,-23.6
20-Jan-24,826.75,826.75,817.5,819,821.5967121,164907,4655,135487049,70604,42.81,9.25,-7.75
19-Jan-24,824.85,825.65,819.6,823.3,822.5938781,663451,15049,545750731,138821,20.92,6.05,-1.55
18-Jan-24,808,822.5,796.85,818.9,811.7521615,930961,31024,755709604,399712,42.94,25.65,10.9
17-Jan-24,813.8,813.8,803.4,805.55,808.3848932,688022,31766,556186591,322129,46.82,10.4,-8.25
16-Jan-24,814.75,827,812.75,818.9,821.2367918,392615,10629,322429883,137445,35.01,14.25,4.15
15-Jan-24,821.95,821.95,810.85,812.35,814.7626453,276367,11107,225173508,139758,50.57,11.1,-9.6
12-Jan-24,818.95,818.95,809.5,816.25,815.419901,1029657,28791,839602809,257930,25.05,9.45,-2.7
11-Jan-24,812.55,817.4,809,815.85,812.9432332,650222,12533,528593575,300603,46.23,8.4,3.3
10-Jan-24,799.8,810.75,792.8,808.25,803.0371991,384042,10073,308400012,122954,32.02,17.95,8.45
09-Jan-24,799.1,809,793.7,799.5,801.6778822,560888,12369,449651504,162255,28.93,15.3,0.4
08-Jan-24,798.85,800.15,787.6,789.05,794.10873,693387,10093,550624670,464049,66.92,12.55,-9.8
05-Jan-24,800,805.85,787.2,790.55,794.2938861,908403,19536,721538949,242971,26.75,18.65,-9.45
04-Jan-24,797.25,801.85,791.35,795.65,796.6787902,652726,13368,520012960,243957,37.38,10.5,-1.6
03-Jan-24,786,790,776.2,781.35,781.979135,652481,23818,510226528,256745,39.35,13.8,-4.65
02-Jan-24,800.65,804,779.15,784.55,788.8303791,604902,16330,477165074,202624,33.5,24.85,-16.1
01-Jan-24,786.7,798.5,781.4,790.5,791.7333989,1067010,33461,844787454,370997,34.77,17.1,3.8
29-Dec-23,756.45,802.6,753.9,780.75,784.4817157,3504270,82909,2749035742,813151,23.2,48.7,24.3
28-Dec-23,743.4,757.85,739,754.2,747.0179671,430065,10966,321266282,135694,31.55,18.85,10.8
27-Dec-23,727.35,741.8,725.1,740.6,735.3432517,1164067,34191,855988813,614425,52.78,16.7,13.25
26-Dec-23,727,727.8,716.6,719.65,721.3263546,577179,9519,416334424,391655,67.86,11.2,-7.35
22-Dec-23,717,731,712.05,724.6,725.2338343,941329,15380,682683640,120145,12.76,18.95,7.6
